0,カテゴリ名に当てる変数名,カテゴリ名,検索対象
1,Houtei,方程式・不等式,相加相乗平均
1,Houtei,方程式・不等式,コーシー＝シュワルツの不等式(二次)
1,Houtei,方程式・不等式,コーシー＝シュワルツの不等式(三次)
1,Houtei,方程式・不等式,二次方程式
1,Houtei,方程式・不等式,二次不等式
2,Zukei,図形,ピタゴラスの定理
2,Zukei,図形,ヘロンの公式
3,Kongou,多重根号,多重根号を外す
4,Sankaku,三角関数,sinの加法定理
4,Sankaku,三角関数,sinの倍角の公式
4,Sankaku,三角関数,sinの半角の公式
4,Sankaku,三角関数,sinの三倍角の公式
4,Sankaku,三角関数,cosの加法定理
4,Sankaku,三角関数,cosの倍角の公式
4,Sankaku,三角関数,cosの半角の公式
4,Sankaku,三角関数,cosの三倍角の公式
4,Sankaku,三角関数,tanの加法定理
4,Sankaku,三角関数,tanの倍角の公式
4,Sankaku,三角関数,tanの半角の公式
4,Sankaku,三角関数,ド・モアブルの定理
4,Sankaku,三角関数,オイラーの公式
5,log,対数,底の変換公式
6,Bibun,微分,微分方程式
6,Bibun,微分,微分不等式
7,Gyoretsu,行列,行列方程式
7,Gyoretsu,行列,行列不等式